Energy(keV) 	 Hits(N) 
1509	8135040	
1510	8139497	
1511	8143952	
1512	8148404	
1513	8152853	
1514	8157300	
1515	8161744	
1516	8166185	
1517	8170624	
1518	8175060	
1519	8179494	
1520	8183925	
1521	8188353	
1522	8192779	
1523	8197202	
1524	8201622	
1525	8206040	
1526	8210455	
1527	8214868	
1528	8219277	
1529	8223684	
1530	8228089	
1531	8232491	
1532	8236890	
1533	8241286	
1534	8245680	
1535	8250071	
1536	8254459	
1537	8258845	
1538	8263228	
1539	8267609	
1540	8271986	
1541	8276361	
1542	8280733	
1543	8285103	
1544	8289470	
1545	8293834	
1546	8298195	
1547	8302554	
1548	8306910	
1549	8311263	
1550	8315614	
1551	8319962	
1552	8324307	
1553	8328649	
1554	8332989	
1555	8337326	
1556	8341660	
1557	8345992	
1558	8350320	
1559	8354646	
1560	8358970	
1561	8363290	
1562	8367608	
1563	8371923	
1564	8376235	
1565	8380544	
1566	8384851	
1567	8389155	
1568	8393456	
1569	8397754	
1570	8402050	
1571	8406343	
1572	8410633	
1573	8414920	
1574	8419204	
1575	8423486	
1576	8427765	
1577	8432041	
1578	8436314	
1579	8440585	
1580	8444853	
1581	8449117	
1582	8453379	
1583	8457639	
1584	8461895	
1585	8466149	
1586	8470400	
1587	8474648	
1588	8478893	
1589	8483135	
1590	8487375	
1591	8491611	
1592	8495845	
1593	8500076	
1594	8504304	
1595	8508529	
1596	8512752	
1597	8516972	
1598	8521188	
1599	8525402	
1600	8529613	
1601	8533821	
1602	8538027	
1603	8542229	
1604	8546429	
1605	8550626	
1606	8554819	
1607	8559010	
1608	8563198	
1609	8567384	
1610	8571566	
1611	8575745	
1612	8579922	
1613	8584096	
1614	8588266	
1615	8592434	
1616	8596599	
1617	8600761	
1618	8604921	
1619	8609077	
1620	8613230	
1621	8617381	
1622	8621528	
1623	8625673	
1624	8629814	
1625	8633953	
1626	8638089	
1627	8642222	
1628	8646352	
1629	8650479	
1630	8654603	
1631	8658724	
1632	8662842	
1633	8666958	
1634	8671070	
1635	8675179	
1636	8679286	
1637	8683389	
1638	8687490	
1639	8691588	
1640	8695682	
1641	8699774	
1642	8703862	
1643	8707948	
1644	8712031	
1645	8716111	
